;Brand;Model;YearMonth;cleaned_Price;Price_Eval;Kilometer;Gear_Type;Fuel_Type;Consumption;CO2_g_km;Power_PS;Price_per_km;Fuel_Cost_per_100km;Annual_Fuel_Cost;CO2_per_year;CO2_Emission_Category
116;Opel;Corsa;2013-06-01;3999.0;Fairer Preis;183026.0;Schaltgetriebe;Diesel;4.4;117.0;95.0;0.021849354736485527;7.26;1343.64;2165.37;True
117;Dodge;RAM;2013-04-01;24990.0;Sehr guter Preis;119500.0;Automatik;Benzin;;;401.0;0.2091213389121339;;;;True
118;Porsche;Macan;2014-08-01;23999.0;Sehr guter Preis;156493.0;Automatik;Benzin;9.0;213.0;340.0;0.15335510214514386;15.93;2948.24;3942.09;True
119;Hyundai;i10;2016-03-01;7990.0;Sehr guter Preis;38025.0;Schaltgetriebe;Benzin;4.7;108.0;67.0;0.2101249178172255;8.319;1539.64;1998.81;True
120;Skoda;Yeti;2012-12-01;10990.0;Guter Preis;112000.0;Automatik;Diesel;6.0;159.0;140.0;0.098125;9.899999999999999;1832.24;2942.69;True
121;Volkswagen;Golf;2013-11-01;17480.0;Erhöhter Preis;125712.0;Automatik;Diesel;4.5;119.0;184.0;0.13904798269059437;7.425;1374.18;2202.39;True
122;Volkswagen;Touran;2013-10-01;6490.0;Fairer Preis;280956.0;Schaltgetriebe;Diesel;4.6;121.0;105.0;0.023099702444510883;7.589999999999999;1404.72;2239.4;True
123;BMW;216;2016-01-01;10680.0;Sehr guter Preis;91952.0;Schaltgetriebe;Benzin;5.1;118.0;102.0;0.11614755524621542;9.027;1670.67;2183.88;True
124;Mercedes-Benz;GLK 220;2013-06-01;14490.0;Fairer Preis;182068.0;Automatik;Diesel;6.1;159.0;170.0;0.07958564931783729;10.065;1862.78;2942.69;True
125;Nissan;370Z;2010-07-01;19990.0;Guter Preis;61978.0;Automatik;Benzin;10.4;256.0;328.0;0.32253380231695117;18.408;3406.85;4737.91;False
