brand,model,car_info,user_text,price,price_evaluation,kilometer,gear,date,fuel,power,consumption,co2
Mercedes-Benz,GLC 43 AMG,19*Burmester*Alcantara*360°*Panorama*,,36950,Guter Preis,98100,,05/2019,Benzin,367,,
Volkswagen,Tiguan,1.4 TSI SPORT & STYLE / PANORAMA / 1.HAND,,13777,Ohne Bewertung,97000,,05/2014,Benzin,122,,
Volkswagen,Tiguan,2.0 TSI R-Line 4Motion LED Navi AHK ACC,,24990,Erhöhter Preis,109246,,10/2017,Benzin,179,,
Mercedes-Benz,GLA 200,Style Navi BiX ILS Klimaa. Parkass. Klim,,17999,Guter Preis,94300,,07/2016,Benzin,156,,
BMW,X1,xDrive20d RFK Navi Adapt. LED SHZ Driv.Assist,,26730,Fairer Preis,79400,,10/2019,Diesel,190,,
Volkswagen,Tiguan Allspace,1.4 TSI CL*AHK*Pano*CAM*7 Sitzer,,24770,Guter Preis,104380,,01/2018,Benzin,150,,
Mercedes-Benz,GLC 43 AMG,4Matic*Panorama*Standheizung*AHK,,35980,Sehr guter Preis,68500,,11/2016,Benzin,367,,
Volkswagen,Tiguan,1.4TSI Lounge Sport&Style+XENON+KAMERA,,16150,Fairer Preis,80174,,02/2016,Benzin,125,,
Mercedes-Benz,GLA 200,URBAN *PANORAMA|NAVI|LED*,,19900,Fairer Preis,94120,,03/2017,Benzin,156,,
Nissan,Qashqai,1.2 DIG-T Visia 4x2 Sitzheizung AHK USB,,14490,Erhöhter Preis,76013,,07/2016,Benzin,116,,
Audi,Q3,1.4 TFSI Sport Bi-Xenon S-Tronic AAC Tempomat,,19990,Fairer Preis,104649,,04/2015,Benzin,150,,
Volkswagen,T-Roc,2.0 TSI 4Motion DSG Sport,,21990,Fairer Preis,80744,,11/2017,Benzin,190,,
BMW,218 Gran Tourer,2er Gran Tourer - 218i Luxury Line Leder Head-Up,,15990,Fairer Preis,99896,,11/2015,Benzin,136,,
Volkswagen,Tiguan,1.4 TSI Trendline Navi Sitzheizung AHK,,22950,Erhöhter Preis,73522,,05/2017,Benzin,150,,
Volkswagen,Golf,"Sportsvan ""Sound"" Automatik",,16900,Fairer Preis,81000,,04/2017,Benzin,150,,
Audi,Q3,2.0  TFSI sport quattro S-Tronic AHK NAVI,,19875,Guter Preis,103000,,06/2015,Benzin,220,,
Volkswagen,Tiguan,Life Life 2.0 TDI SCR 4MOTION 147 kW 7-Ga,,29990,Fairer Preis,80340,,12/2020,Diesel,200,,
Mercedes-Benz,GLA 200,GLA-Klasse GLA 200 Style,,15950,Guter Preis,91000,,06/2015,Benzin,156,,
BMW,X1,xDRIVE 2.0i M SPORT PANO LED NAVI AHK KAMERA,,23490,Fairer Preis,97000,,10/2017,Benzin,192,,
BMW,X3,"20i xDrive, 1.Hand, Leder, erst 80.000 km!",,17900,Sehr guter Preis,80000,,04/2016,Benzin,184,,
Mercedes-Benz,GLA 200,Urban SCHECKHEFT/TÜV NEU/BI-XENON/KLIMA,,16700,Guter Preis,87000,,11/2015,Benzin,156,,
Volkswagen,Tiguan,1.4 TSI DSG 4Motion Highline,,23590,Fairer Preis,73110,,05/2017,Benzin,150,,
Mercedes-Benz,GLA 250,AMG-Line DCT NAV+LED+SHZ+KAM+NIGHT-PAKET,,22989,Fairer Preis,98450,,08/2017,Benzin,211,,
Volkswagen,Tiguan,1.4 TSI Sound Navi LED ACC PDC,,17890,Guter Preis,101807,,08/2017,Benzin,150,,
Audi,Q3,2.0 TFSI quattro S-Line/Pano-Dach/Navi/BOSE/,,18890,Ohne Bewertung,104000,,12/2014,Benzin,211,,
BMW,X1,xDrive 20i Sport Line LED Navi ACC Bluetooth,,23490,Fairer Preis,81123,,05/2017,Benzin,192,,
BMW,X1,xDrive 20d Sport Line*HUD*AHK*LED*19°Zoll*,,27790,Guter Preis,97956,,02/2020,Diesel,190,,
Mercedes-Benz,GLC 250,"9G 4M AMG-LINE""PANO""DTR+""AIRMATIC""360""BM",,29490,Fairer Preis,94000,,12/2015,Benzin,211,,
Honda,HR-V,1.5VTEC Comfort+KLIMA+TEMPO+BLUETOOTH+SHZ,,12990,Fairer Preis,81824,,02/2016,Benzin,131,,
Volkswagen,Tiguan,1.4 TSI Sound 4Motion LED AHK Navi ACC,,22990,Fairer Preis,107854,,03/2018,Benzin,150,,
Mercedes-Benz,GLA 180,URBAN PROGRESSIVE PANORAMADACH,,17980,Fairer Preis,89000,,09/2016,Benzin,122,,
Mercedes-Benz,GLA 250,4Matic 7G-DCT AMG-Line Pano Navi RFK,,23990,Fairer Preis,88063,,07/2017,Benzin,211,,
BMW,X4 M40,"X4 M M40 i 3,33% NAVI*KAMERA*8 FACH",,28990,Sehr guter Preis,104700,,06/2016,Benzin,360,,
