;Unnamed: 0;Brand;Model;YearMonth;cleaned_Price;Kilometer;Gear_Type;Fuel_Type;Consumption;CO2_g_km;Power_PS;Price_per_km;Fuel_Cost_per_100km;Annual_Fuel_Cost;CO2_per_year;CO2_Emission_Category;Marketplace;log_cleaned_price;log_price_per_km;log_CO2_Emission;log_CO2_per_year;car_age
92;92;Hyundai;i40;2014-01-01;7999.0;180460.0;Automatik;Diesel;4.7;125.0;136.0;0.04;7.755;1435.25;2313.43;True;Autoscout24.de;8.987196820661973;0.0392207131532812;4.836281906951478;7.7469187159007635;11.008219178082191
93;93;Toyota;iQ;2010-07-01;8990.0;49919.0;Automatik;Benzin;5.925128694518017;;68.0;0.18;;;;True;Autoscout24.de;9.103979355984771;0.1655144384775733;;;14.515068493150684
94;94;Mercedes-Benz;Sprinter;2014-10-01;11500.0;260000.0;Schaltgetriebe;Diesel;8.0;212.0;163.0;0.04;13.2;2442.98;3923.58;True;Autoscout24.de;9.35018926709258;0.0392207131532812;5.3612921657094255;8.275014618121492;10.26027397260274
95;95;Mercedes-Benz;GLK 350;2010-08-01;17990.0;128197.0;Automatik;Diesel;8.4;220.0;231.0;0.14;13.86;2565.13;4071.64;True;Autoscout24.de;9.79762691183662;0.131028262406404;5.3981627015177525;8.312046716803682;14.43013698630137
96;96;Kia;Sorento;2015-11-01;15950.0;148873.0;Automatik;Diesel;6.7;177.0;200.0;0.11;11.055;2046.0;3275.82;True;Autoscout24.de;9.677276802172448;0.1043600153242427;5.181783550292085;8.094628718902133;9.175342465753424
97;97;Volkswagen;Passat Variant;2015-07-01;8490.0;309000.0;Schaltgetriebe;Diesel;4.1;107.0;150.0;0.03;6.764999999999999;1252.03;1980.3;True;Autoscout24.de;9.046762057999365;0.0295588022415444;4.68213122712422;7.591508473900213;9.512328767123288
98;98;Hyundai;i20;2014-09-01;9450.0;60400.0;Automatik;Benzin;5.2;123.0;101.0;0.16;9.204;1703.43;2276.42;True;Autoscout24.de;9.153875834995056;0.1484200051182733;4.820281565605037;7.730798502282266;10.342465753424657
99;99;BMW;Z4;2010-06-01;14700.0;143000.0;Schaltgetriebe;Benzin;9.2;215.0;204.0;0.1;16.284;3013.75;3979.1;True;Autoscout24.de;9.595670797663969;0.0953101798043248;5.375278407684165;8.28906222359098;14.597260273972603
100;100;MINI;Cooper Countryman;2013-10-01;8400.0;145500.0;Schaltgetriebe;Diesel;4.9;130.0;110.0;0.06;8.085;1496.33;2405.97;True;Autoscout24.de;9.036106025364846;0.0582689081239757;4.875197323201151;7.7861239740577055;11.26027397260274
101;101;Mitsubishi;ASX;2011-12-01;6540.0;120511.0;Schaltgetriebe;Benzin;5.8;135.0;117.0;0.05;10.266;1899.98;2498.51;True;Autoscout24.de;8.785845337961213;0.048790164169432;4.912654885736052;7.823849991645782;13.095890410958905
102;102;Mercedes-Benz;CLS 350;2013-07-01;18498.0;150000.0;Automatik;Diesel;6.9;183.0;265.0;0.12;11.385;2107.07;3386.86;True;Autoscout24.de;9.82547195555139;0.1133286853070031;5.214935757608986;8.127953732604105;11.512328767123288
103;103;BMW;335;2011-06-01;10000.0;261243.0;Automatik;Benzin;6.7876348905961486;;306.0;0.04;;;;True;Autoscout24.de;9.210440366976515;0.0392207131532812;;;13.597260273972603
104;104;smart;forFour;2015-07-01;8499.0;66765.0;Automatik;Benzin;5.0;96.0;71.0;0.13;8.85;1637.91;1776.72;True;Autoscout24.de;9.047821442478408;0.1222176327242492;4.574710978503383;7.483086923357562;9.512328767123288
105;105;BMW;525;2013-03-01;9000.0;222146.0;Automatik;Diesel;5.4;143.0;218.0;0.04;8.91;1649.01;2646.57;True;Autoscout24.de;9.105090961257083;0.0392207131532812;4.969813299576001;7.881397517163801;11.846575342465753
