Unnamed: 0.1;Unnamed: 0;Brand;Model;YearMonth;cleaned_Price;Price_Eval;Kilometer;Gear_Type;Fuel_Type;Consumption;CO2_g_km;Power_PS;Price_per_km;Fuel_Cost_per_100km;Annual_Fuel_Cost;CO2_per_year;CO2_Emission_Category;Marketplace;car_age
1989;1989;Opel;Corsa-e;1-10-2021;18.689;;9556.0;Automatik;Elektro;;0.0;136.0;0.0019557346169945585;;;0.0;True;Auto.de;3.485.284.052.019.160
1990;1990;Opel;Corsa-e;1-6-2021;18.689;;19040.0;Automatik;Elektro;;0.0;136.0;0.00098156512605042;;;0.0;True;Auto.de;38.193.018.480.492.800
1991;1991;Opel;Corsa-e;1-9-2021;17.689;;21791.0;Automatik;Elektro;;0.0;136.0;0.0008117571474461934;;;0.0;True;Auto.de;3.567.419.575.633.120
1992;1992;Opel;Corsa-e;1-8-2021;17.689;;26364.0;Automatik;Elektro;;0.0;136.0;0.0006709528144439387;;;0.0;True;Auto.de;3.652.292.950.034.220
1993;1993;Opel;Corsa-e;1-9-2021;18.689;;12731.0;Automatik;Elektro;;0.0;136.0;0.0014679915167700888;;;0.0;True;Auto.de;3.567.419.575.633.120
1994;1994;Opel;Corsa-e;1-9-2021;17.689;;22241.0;Automatik;Elektro;;0.0;136.0;0.0007953329436626051;;;0.0;True;Auto.de;3.567.419.575.633.120
1995;1995;Opel;Corsa-e;1-5-2021;18.289;;23932.0;Automatik;Elektro;;0.0;136.0;0.0007642069196055491;;;0.0;True;Auto.de;39.041.752.224.503.700
1996;1996;Opel;Mokka-e;1-10-2021;18.689;;1397.0;Automatik;Elektro;;0.0;136.0;0.013377952755905512;;;0.0;True;Auto.de;3.485.284.052.019.160
1997;1997;Opel;Mokka-e;1-4-2021;20.289;;29987.0;Automatik;Elektro;;0.0;136.0;0.0006765931903824991;;;0.0;True;Auto.de;39.863.107.460.643.300
1998;1998;Opel;Corsa-e;1-5-2021;19.289;;8211.0;Automatik;Elektro;;0.0;136.0;0.002349165753257825;;;0.0;True;Auto.de;39.041.752.224.503.700
1999;1999;Opel;Corsa-e;1-4-2021;17.689;;24870.0;Automatik;Elektro;;0.0;136.0;0.0007112585444310415;;;0.0;True;Auto.de;39.863.107.460.643.300
2000;2000;Opel;Mokka-e;1-7-2021;16.689;;18243.0;Automatik;Elektro;;0.0;136.0;0.0009148166419996711;;;0.0;True;Auto.de;37.371.663.244.353.100
2001;2001;Opel;Corsa-e;1-9-2021;18.089;;25799.0;Automatik;Elektro;;0.0;136.0;0.0007011512074111399;;;0.0;True;Auto.de;3.567.419.575.633.120
2002;2002;Audi;A6;1-7-2021;36.089;;123988.0;Automatik;Hybrid (Elektro / Benzin);8.0;85.0;265.0;0.00029106849049908055;14.16;2619.6;1572.5;True;Auto.de;37.371.663.244.353.100
2003;2003;Cupra;Formentor;1-12-2021;28.489;;46001.0;Automatik;Benzin;8.0;185.0;150.0;0.0006193126236386166;14.16;2619.6;3422.5;False;Auto.de;33.182.751.540.041.000
2004;2004;Skoda;Octavia;1-8-2021;27.689;;31270.0;Schaltgetriebe;Diesel;2.0;110.0;150.0;0.0008854812919731372;3.54;654.9;2035.0;True;Auto.de;3.652.292.950.034.220
2005;2005;Skoda;Octavia;1-3-2021;28.689;;40600.0;Automatik;Diesel;5.0;118.0;150.0;0.0007066256157635468;8.85;1637.25;2183.0;True;Auto.de;4.071.184.120.465.430
2006;2006;Volkswagen;T6 Transporter;1-2-2021;25.489;;96133.0;Schaltgetriebe;Diesel;7.0;186.0;110.0;0.00026514308302039884;12.39;2292.15;3441.0;False;Auto.de;4.147.843.942.505.130
2007;2007;Volkswagen;SONSTIGE;1-1-2021;21.489;;52050.0;Schaltgetriebe;Diesel;7.0;186.0;102.0;0.0004128530259365994;12.39;2292.15;3441.0;False;Auto.de;4.232.717.316.906.220
2008;2008;Ford;Puma;1-11-2021;22.989;;83500.0;Schaltgetriebe;Benzin;8.0;154.0;200.0;0.0002753173652694611;14.16;2619.6;2849.0;False;Auto.de;340.041.067.761.807
2009;2009;Ford;Fiesta;1-7-2021;15.389;;37500.0;Schaltgetriebe;Benzin;3.0;121.0;75.0;0.00041037333333333333;53.100.000.000.000.000;9.823.500.000.000.000;2238.5;True;Auto.de;37.371.663.244.353.100
2010;2010;Peugeot;108;1-4-2021;11.089;;50135.0;Schaltgetriebe;Benzin;3.0;120.0;72.0;0.00022118280642265882;53.100.000.000.000.000;9.823.500.000.000.000;2220.0;True;Auto.de;39.863.107.460.643.300
2011;2011;Ford;Transit Connect;1-9-2021;20.989;;29808.0;Schaltgetriebe;Diesel;7.0;186.0;101.0;0.0007041398282340312;12.39;2292.15;3441.0;False;Auto.de;3.567.419.575.633.120
2012;2012;Volkswagen;up!;1-7-2021;13.489;;40270.0;Schaltgetriebe;Benzin;8.0;185.0;65.0;0.00033496399304693323;14.16;2619.6;3422.5;False;Auto.de;37.371.663.244.353.100
2013;2013;Skoda;Karoq;1-7-2021;23.489;;26890.0;Schaltgetriebe;Benzin;8.0;185.0;110.0;0.0008735217552993678;14.16;2619.6;3422.5;False;Auto.de;37.371.663.244.353.100
2014;2014;Volkswagen;Passat;1-3-2021;28.589;;70881.0;Automatik;Benzin;8.0;185.0;218.0;0.0004033379890238569;14.16;2619.6;3422.5;False;Auto.de;4.071.184.120.465.430
2015;2015;Skoda;Karoq;1-7-2021;25.489;;66910.0;Schaltgetriebe;Benzin;8.0;185.0;150.0;0.00038094455238379916;14.16;2619.6;3422.5;False;Auto.de;37.371.663.244.353.100
2016;2016;Volkswagen;Tiguan;1-3-2021;36.989;;28000.0;Automatik;Benzin;8.0;185.0;245.0;0.0013210357142857143;14.16;2619.6;3422.5;False;Auto.de;4.071.184.120.465.430
2017;2017;Volkswagen;Passat;1-11-2021;24.689;;72072.0;Automatik;Diesel;8.0;127.0;150.0;0.00034256021756021756;14.16;2619.6;2349.5;True;Auto.de;340.041.067.761.807
2018;2018;Seat;Tarraco;1-10-2021;26.989;;61385.0;Schaltgetriebe;Diesel;4.0;141.0;150.0;0.00043966767125519263;7.08;1309.8;2608.5;False;Auto.de;3.485.284.052.019.160
2019;2019;Seat;Tarraco;1-10-2021;25.689;;61385.0;Schaltgetriebe;Diesel;4.0;141.0;150.0;0.00041848985908609596;7.08;1309.8;2608.5;False;Auto.de;3.485.284.052.019.160
2020;2020;Seat;Tarraco;1-10-2021;31.889;;38090.0;Schaltgetriebe;Benzin;2.0;163.0;150.0;0.0008372013651877133;3.54;654.9;3015.5;False;Auto.de;3.485.284.052.019.160
2021;2021;Seat;Tarraco;1-10-2021;33.189;;38090.0;Schaltgetriebe;Benzin;2.0;163.0;150.0;0.0008713310580204778;3.54;654.9;3015.5;False;Auto.de;3.485.284.052.019.160
2022;2022;Seat;Ibiza;1-8-2021;15.689;;22300.0;Schaltgetriebe;Benzin;5.0;125.0;80.0;0.000703542600896861;8.85;1637.25;2312.5;True;Auto.de;3.652.292.950.034.220
2023;2023;Skoda;Kodiaq;1-10-2021;41.489;;49987.0;Automatik;Diesel;5.0;171.0;200.0;0.000829995798907716;8.85;1637.25;3163.5;False;Auto.de;3.485.284.052.019.160
2024;2024;Volkswagen;Arteon;1-11-2021;32.889;;38019.0;Automatik;Benzin;3.0;167.0;190.0;0.0008650674662668667;53.100.000.000.000.000;9.823.500.000.000.000;3089.5;False;Auto.de;340.041.067.761.807
2025;2025;Volkswagen;Passat;1-11-2021;25.989;;72072.0;Automatik;Diesel;8.0;127.0;150.0;0.0003605977355977356;14.16;2619.6;2349.5;True;Auto.de;340.041.067.761.807
2026;2026;Volkswagen;Polo;1-11-2021;17.689;;29023.0;Schaltgetriebe;Benzin;4.0;123.0;80.0;0.0006094821348585605;7.08;1309.8;2275.5;True;Auto.de;340.041.067.761.807
2027;2027;Renault;ZOE;1-12-2021;17.448;;49367.0;Automatik;Elektro;;0.0;136.0;0.00035343448052342657;;;0.0;True;Auto.de;33.182.751.540.041.000
2028;2028;Skoda;Octavia;1-11-2021;35.089;;78000.0;Automatik;Benzin;1.0;161.0;245.0;0.00044985897435897434;1.77;327.45;2978.5;False;Auto.de;340.041.067.761.807
